Timestamp,Speed,RPM,Temp,Fuel,FL_Accel,FL_Gyro,FL_Susp,FL_StrainL,FL_StrainR,FR_Accel,FR_Gyro,FR_Susp,FR_StrainL,FR_StrainR,RL_Accel,RL_Gyro,RL_Susp,RL_StrainL,RL_StrainR,RR_Accel,RR_Gyro,RR_Susp,RR_StrainL,RR_StrainR,Pi_Accel,Pi_Gyro
1768541383704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541383739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38549.0,38549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541383773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38549.0,38549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541383807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38549.0,38549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541383841,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,38549.0,38549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541383875,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,38549.0,38549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541383910,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,39061.0,39317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541383944,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,39061.0,39317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541383977,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,39061.0,39317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384011,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,39061.0,39317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384045,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,39061.0,39317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384081,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,39061.0,39061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384115,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,39061.0,39061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384150,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,39061.0,39061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384184,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,39061.0,39061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384219,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,39061.0,39061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384255,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,37781.0,38037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384290,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,37781.0,38037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384327,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,37781.0,38037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384361,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,37781.0,38037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384396,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,37781.0,38037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384431,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,40085.0,38549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384465,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,40085.0,38549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384499,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,40085.0,38549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384533,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,40085.0,38549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768541384566,20.0,0.0,0.0,0.0,0.0,0.0,39702.0,40085.0,38549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
