Timestamp,Speed,RPM,Temp,Fuel,FL_Accel,FL_Gyro,FL_Susp,FL_StrainL,FL_StrainR,FR_Accel,FR_Gyro,FR_Susp,FR_StrainL,FR_StrainR,RL_Accel,RL_Gyro,RL_Susp,RL_StrainL,RL_StrainR,RR_Accel,RR_Gyro,RR_Susp,RR_StrainL,RR_StrainR,Pi_Accel,Pi_Gyro
1769902568526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1769902568560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13593.0,33685.0,22864.0,0.0,3.12403E-319,58389.0,43413.0,44437.0,6.3E-322,3.12403E-319,58389.0,43157.0,42389.0,0.0,0.0
1769902568594,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,0.0,0.0,0.0,0.0,13593.0,33685.0,22864.0,0.0,3.12403E-319,58389.0,43413.0,44437.0,6.3E-322,3.12403E-319,58389.0,43157.0,42389.0,0.0,0.0
1769902568628,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,0.0,0.0,0.0,0.0,13593.0,33685.0,22864.0,0.0,3.12403E-319,58389.0,43413.0,44437.0,6.3E-322,3.12403E-319,58389.0,43157.0,42389.0,0.0,0.0
1769902568662,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,33685.0,22864.0,0.0,3.1493E-319,58389.0,45461.0,44949.0,6.3E-322,3.12403E-319,58389.0,45205.0,45205.0,0.0,0.0
1769902568695,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,33685.0,22864.0,0.0,3.1493E-319,58389.0,45461.0,44949.0,6.3E-322,3.12403E-319,58389.0,45205.0,45205.0,0.0,0.0
1769902568729,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,33429.0,23120.0,0.0,3.1493E-319,58389.0,45461.0,44949.0,6.3E-322,3.12403E-319,58389.0,45205.0,45205.0,0.0,0.0
1769902568764,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,33429.0,23120.0,0.0,3.13667E-319,58389.0,43157.0,43669.0,6.3E-322,3.13667E-319,58389.0,43925.0,44181.0,0.0,0.0
1769902568798,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,38549.0,0.0,0.0,13593.0,33429.0,23120.0,0.0,3.13667E-319,58389.0,43669.0,48789.0,6.3E-322,3.13667E-319,58389.0,43925.0,44181.0,0.0,0.0
1769902568833,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,38549.0,0.0,0.0,13593.0,33429.0,23120.0,0.0,3.13667E-319,58389.0,43669.0,48789.0,6.3E-322,3.13667E-319,58389.0,43925.0,44181.0,0.0,0.0
