Timestamp,Speed,RPM,Temp,Fuel,FL_Accel,FL_Gyro,FL_Susp,FL_StrainL,FL_StrainR,FR_Accel,FR_Gyro,FR_Susp,FR_StrainL,FR_StrainR,RL_Accel,RL_Gyro,RL_Susp,RL_StrainL,RL_StrainR,RR_Accel,RR_Gyro,RR_Susp,RR_StrainL,RR_StrainR,Pi_Accel,Pi_Gyro
1769900690822,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,52373.0,0.0,0.0,13593.0,34965.0,23120.0,0.0,3.12403E-319,58389.0,42645.0,43925.0,6.3E-322,3.1493E-319,58389.0,45717.0,45973.0,0.0,0.0
1769900690856,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,52373.0,0.0,0.0,13593.0,34965.0,23120.0,0.0,3.1493E-319,58389.0,46741.0,46997.0,6.3E-322,3.13667E-319,58389.0,46485.0,47253.0,0.0,0.0
1769900690890,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,52373.0,0.0,0.0,13593.0,35989.0,24144.0,0.0,3.1493E-319,58389.0,46741.0,46997.0,6.3E-322,3.13667E-319,58389.0,46485.0,47253.0,0.0,0.0
1769900690924,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,42389.0,0.0,0.0,13593.0,35989.0,24144.0,0.0,3.1493E-319,58389.0,46741.0,46997.0,6.3E-322,3.13667E-319,58389.0,46485.0,47253.0,0.0,0.0
1769900690957,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,42389.0,0.0,0.0,13593.0,35989.0,24144.0,0.0,3.13667E-319,58389.0,46997.0,46741.0,6.3E-322,3.13667E-319,58389.0,45717.0,45461.0,0.0,0.0
1769900690991,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,42389.0,0.0,0.0,13593.0,35989.0,24144.0,0.0,3.13667E-319,58389.0,42901.0,46997.0,6.3E-322,3.13667E-319,58389.0,45717.0,45461.0,0.0,0.0
1769900691025,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,42389.0,0.0,0.0,13593.0,34453.0,23120.0,0.0,3.13667E-319,58389.0,42901.0,46997.0,6.3E-322,3.13667E-319,58389.0,45717.0,45461.0,0.0,0.0
1769900691059,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,42389.0,0.0,0.0,13593.0,34453.0,23120.0,0.0,3.12403E-319,58389.0,46741.0,46997.0,6.3E-322,3.13667E-319,58389.0,44949.0,45205.0,0.0,0.0
1769900691093,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44437.0,0.0,0.0,13593.0,34453.0,23120.0,0.0,3.12403E-319,58389.0,46741.0,46997.0,6.3E-322,3.13667E-319,58389.0,44949.0,45205.0,0.0,0.0
1769900691127,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44437.0,0.0,0.0,13593.0,34453.0,23120.0,0.0,3.12403E-319,58389.0,40853.0,46997.0,6.3E-322,3.13667E-319,58389.0,44949.0,45205.0,0.0,0.0
1769900691161,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44437.0,0.0,0.0,13593.0,34453.0,23120.0,0.0,3.12403E-319,58389.0,46997.0,46229.0,6.3E-322,3.13667E-319,58389.0,48277.0,47509.0,0.0,0.0
1769900691195,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44437.0,0.0,0.0,13593.0,33429.0,50256.0,0.0,3.12403E-319,58389.0,46997.0,46229.0,6.3E-322,3.13667E-319,58389.0,48277.0,47509.0,0.0,0.0
1769900691228,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,38805.0,0.0,0.0,13593.0,33429.0,50256.0,0.0,3.12403E-319,58389.0,46997.0,46229.0,6.3E-322,3.13667E-319,58389.0,48277.0,47509.0,0.0,0.0
1769900691262,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,38805.0,0.0,0.0,13593.0,33429.0,50256.0,0.0,3.13667E-319,58389.0,46997.0,46997.0,6.3E-322,3.13667E-319,58389.0,46229.0,46485.0,0.0,0.0
